i = 192, x = -1.0, lo = -0.3159797165580964, hi = -0.6840202834419036
i = 193, x = -1.0, lo = -0.4069551882504899, hi = -0.5930448117495102
i = 194, x = -1.0, lo = -0.4858308192656347, hi = -0.5141691807343653
i = 195, x = -1.0, lo = -0.5542159021050288, hi = -0.4457840978949712
i = 196, x = -1.0, lo = -0.6135056915464959, hi = -0.3864943084535041
i = 197, x = -1.0, lo = -0.6649098719036262, hi = -0.3350901280963738
i = 198, x = -1.0, lo = -0.7094772381074989, hi = -0.2905227618925011
i = 199, x = -1.0, lo = -0.7481170941766092, hi = -0.2518829058233908
i = 200, x = -1.0, lo = -0.7816178056660806, hi = -0.2183821943339194
i = 201, x = -1.0, lo = -0.8106628846201401, hi = -0.1893371153798599
i = 202, x = -1.0, lo = -0.8358449352077130, hi = -0.1641550647922870
i = 203, x = -1.0, lo = -0.8576777445727033, hi = -0.1423222554272967
i = 204, x = -1.0, lo = -0.8766067655875068, hi = -0.1233932344124932
i = 205, x = -1.0, lo = -0.8930182053884438, hi = -0.1069817946115562
i = 206, x = -1.0, lo = -0.9072469051256962, hi = -0.0927530948743038
i = 207, x = -1.0, lo = -0.9195831716975862, hi = -0.0804168283024138
i = 208, x = -1.0, lo = -0.9302787008564664, hi = -0.0697212991435336
i = 209, x = -1.0, lo = -0.9395517125348228, hi = -0.0604482874651772
i = 210, x = -1.0, lo = -0.9475914031671971, hi = -0.0524085968328029
i = 211, x = -1.0, lo = -0.9545618058482540, hi = -0.0454381941517460
i = 212, x = -1.0, lo = -0.9606051370854581, hi = -0.0393948629145419
i = 213, x = -1.0, lo = -0.9658446984298580, hi = -0.0341553015701420
i = 214, x = -1.0, lo = -0.9703873921866923, hi = -0.0296126078133077
i = 215, x = -1.0, lo = -0.9743259025336393, hi = -0.0256740974663607
i = 216, x = -1.0, lo = -0.9777405865478700, hi = -0.0222594134521300
i = 217, x = -1.0, lo = -0.9807011137243650, hi = -0.0192988862756350
i = 218, x = -1.0, lo = -0.9832678874364386, hi = -0.0167321125635614
i = 219, x = -1.0, lo = -0.9854932773404055, hi = -0.0145067226595945
i = 220, x = -1.0, lo = -0.9874226878690326, hi = -0.0125773121309674
i = 221, x = -1.0, lo = -0.9890954846141520, hi = -0.0109045153858480
i = 222, x =  1.0, lo = -0.8575446659618106, hi =  1.8575446659618104
i = 223, x =  1.0, lo = -0.6104891235073912, hi =  1.6104891235073913
i = 224, x =  1.0, lo = -0.3962922477520273, hi =  1.3962922477520272
i = 225, x =  1.0, lo = -0.2105837988439299, hi =  1.2105837988439299
i = 226, x =  1.0, lo = -0.0495747837766887, hi =  1.0495747837766887
i = 227, x =  1.0, lo =  0.0900198500988667, hi =  0.9099801499011333
i = 228, x =  1.0, lo =  0.2110482397124063, hi =  0.7889517602875937
i = 229, x =  1.0, lo =  0.3159797165591804, hi =  0.6840202834408196
i = 230, x =  1.0, lo =  0.4069551882514297, hi =  0.5930448117485703
i = 231, x =  1.0, lo =  0.4858308192664496, hi =  0.5141691807335504
i = 232, x =  1.0, lo =  0.5542159021057352, hi =  0.4457840978942648
i = 233, x =  1.0, lo =  0.6135056915471084, hi =  0.3864943084528916
i = 234, x =  1.0, lo =  0.6649098719041573, hi =  0.3350901280958427
i = 235, x =  1.0, lo =  0.7094772381079594, hi =  0.2905227618920406
i = 236, x =  1.0, lo =  0.7481170941770086, hi =  0.2518829058229914
i = 237, x =  1.0, lo =  0.7816178056664269, hi =  0.2183821943335731
i = 238, x =  1.0, lo =  0.8106628846204403, hi =  0.1893371153795597
i = 239, x =  1.0, lo =  0.8358449352079732, hi =  0.1641550647920268
i = 240, x =  1.0, lo =  0.8576777445729289, hi =  0.1423222554270711
i = 241, x =  1.0, lo =  0.8766067655877023, hi =  0.1233932344122977
i = 242, x =  1.0, lo =  0.8930182053886133, hi =  0.1069817946113867
i = 243, x =  1.0, lo =  0.9072469051258431, hi =  0.0927530948741569
i = 244, x =  1.0, lo =  0.9195831716977135, hi =  0.0804168283022865
i = 245, x =  1.0, lo =  0.9302787008565766, hi =  0.0697212991434234
i = 246, x =  1.0, lo =  0.9395517125349184, hi =  0.0604482874650816
i = 247, x =  1.0, lo =  0.9475914031672801, hi =  0.0524085968327199
i = 248, x =  1.0, lo =  0.9545618058483258, hi =  0.0454381941516742
i = 249, x =  1.0, lo =  0.9606051370855204, hi =  0.0393948629144796
i = 250, x =  1.0, lo =  0.9658446984299121, hi =  0.0341553015700879
i = 251, x =  1.0, lo =  0.9703873921867392, hi =  0.0296126078132608
i = 252, x =  1.0, lo =  0.9743259025336799, hi =  0.0256740974663201
i = 253, x =  1.0, lo =  0.9777405865479052, hi =  0.0222594134520948
i = 254, x =  1.0, lo =  0.9807011137243955, hi =  0.0192988862756045
i = 255, x =  1.0, lo =  0.9832678874364650, hi =  0.0167321125635350
i = 256, x =  1.0, lo =  0.9854932773404284, hi =  0.0145067226595716
i = 257, x =  1.0, lo =  0.9874226878690524, hi =  0.0125773121309476
i = 258, x =  1.0, lo =  0.9890954846141691, hi =  0.0109045153858309
i = 259, x = -1.0, lo =  0.8575446659618254, hi = -1.8575446659618255
i = 260, x = -1.0, lo =  0.6104891235074040, hi = -1.6104891235074041
i = 261, x = -1.0, lo =  0.3962922477520384, hi = -1.3962922477520383
i = 262, x = -1.0, lo =  0.2105837988439396, hi = -1.2105837988439396
i = 263, x = -1.0, lo =  0.0495747837766970, hi = -1.0495747837766971
i = 264, x = -1.0, lo = -0.0900198500988594, hi = -0.9099801499011406
i = 265, x = -1.0, lo = -0.2110482397124000, hi = -0.7889517602875999
i = 266, x = -1.0, lo = -0.3159797165591750, hi = -0.6840202834408250
i = 267, x = -1.0, lo = -0.4069551882514250, hi = -0.5930448117485749
i = 268, x = -1.0, lo = -0.4858308192664455, hi = -0.5141691807335544
i = 269, x = -1.0, lo = -0.5542159021057317, hi = -0.4457840978942683
i = 270, x = -1.0, lo = -0.6135056915471053, hi = -0.3864943084528947
i = 271, x = -1.0, lo = -0.6649098719041544, hi = -0.3350901280958456
i = 272, x = -1.0, lo = -0.7094772381079569, hi = -0.2905227618920431
i = 273, x = -1.0, lo = -0.7481170941770063, hi = -0.2518829058229937
i = 274, x = -1.0, lo = -0.7816178056664250, hi = -0.2183821943335750
i = 275, x = -1.0, lo = -0.8106628846204388, hi = -0.1893371153795612
i = 276, x = -1.0, lo = -0.8358449352079719, hi = -0.1641550647920281
i = 277, x = -1.0, lo = -0.8576777445729277, hi = -0.1423222554270723
i = 278, x = -1.0, lo = -0.8766067655877012, hi = -0.1233932344122988
i = 279, x = -1.0, lo = -0.8930182053886123, hi = -0.1069817946113877
i = 280, x = -1.0, lo = -0.9072469051258423, hi = -0.0927530948741577
i = 281, x = -1.0, lo = -0.9195831716977129, hi = -0.0804168283022871
i = 282, x = -1.0, lo = -0.9302787008565762, hi = -0.0697212991434238
i = 283, x = -1.0, lo = -0.9395517125349180, hi = -0.0604482874650820
i = 284, x = -1.0, lo = -0.9475914031672796, hi = -0.0524085968327204
i = 285, x = -1.0, lo = -0.9545618058483255, hi = -0.0454381941516745
i = 286, x = -1.0, lo = -0.9606051370855201, hi = -0.0393948629144799
i = 287, x = -1.0, lo = -0.9658446984299116, hi = -0.0341553015700884
i = 288, x = -1.0, lo = -0.9703873921867389, hi = -0.0296126078132611
i = 289, x = -1.0, lo = -0.9743259025336797, hi = -0.0256740974663203
i = 290, x = -1.0, lo = -0.9777405865479051, hi = -0.0222594134520949
i = 291, x = -1.0, lo = -0.9807011137243954, hi = -0.0192988862756046
i = 292, x = -1.0, lo = -0.9832678874364649, hi = -0.0167321125635351
i = 293, x = -1.0, lo = -0.9854932773404282, hi = -0.0145067226595718
i = 294, x = -1.0, lo = -0.9874226878690523, hi = -0.0125773121309477
i = 295, x = -1.0, lo = -0.9890954846141690, hi = -0.0109045153858310
i = 296, x =  1.0, lo = -0.8575446659618253, hi =  1.8575446659618253
i = 297, x =  1.0, lo = -0.6104891235074040, hi =  1.6104891235074041
i = 298, x =  1.0, lo = -0.3962922477520384, hi =  1.3962922477520383
i = 299, x =  1.0, lo = -0.2105837988439396, hi =  1.2105837988439396
